Latitude;Longitude;Temp;SA;Specific Humidity at 2 Meters;RH;Eff;Output
-0.41059;117.46741;26.7996;4.6922;0.0188;85.2208;0.0339;0.1589
-0.41059;117.56191;27.6687;4.6922;0.0188;81.0631;0.0358;0.1681
-0.41059;117.65641;27.6687;4.6922;0.0188;81.0631;0.0358;0.1681
-0.41649;110.55891;25.7079;5.0131;0.019;90.8636;0.0307;0.1542
-0.41649;110.70721;25.7079;5.0131;0.019;90.8636;0.0307;0.1542
-0.41649;110.85551;25.7079;5.0131;0.019;90.8636;0.0307;0.1542
-0.41649;111.00381;25.5778;4.9237;0.0189;90.7051;0.0316;0.1558
-0.41649;111.15211;25.5778;4.9237;0.0189;90.7051;0.0316;0.1558
-0.41649;111.30041;25.5778;4.9237;0.0189;90.7051;0.0316;0.1558
-0.41649;111.44871;25.5778;4.9237;0.0189;90.7051;0.0316;0.1558
-0.41649;111.59701;25.6646;4.9237;0.0189;90.5975;0.0314;0.1545
-0.41649;111.74531;25.6646;4.9237;0.0189;90.5975;0.0314;0.1545
-0.41649;111.89361;25.6646;4.9237;0.0189;90.5975;0.0314;0.1545
-0.41649;112.04191;25.1641;4.8987;0.0186;90.8887;0.0334;0.1638
-0.41649;112.19021;25.1641;4.8987;0.0186;90.8887;0.0334;0.1638
-0.41649;112.33851;25.1641;4.8987;0.0186;90.8887;0.0334;0.1638
-0.41649;112.48681;25.1641;4.8987;0.0186;90.8887;0.0334;0.1638
-0.41649;112.63511;24.4598;4.8987;0.0182;91.2601;0.0364;0.1783
-0.41649;112.78341;24.4598;4.8987;0.0182;91.2601;0.0364;0.1783
-0.41649;112.93171;24.4598;4.8987;0.0182;91.2601;0.0364;0.1783
-0.41649;113.08001;24.0202;4.9441;0.0179;91.5617;0.0381;0.1885
-0.41649;113.22831;24.0202;4.9441;0.0179;91.5617;0.0381;0.1885
-0.41649;113.37661;24.0202;4.9441;0.0179;91.5617;0.0381;0.1885
-0.41649;113.52491;24.3979;4.9441;0.0182;91.805;0.0359;0.1773
-0.41649;113.67321;24.3979;4.9441;0.0182;91.805;0.0359;0.1773
-0.41649;113.82151;24.3979;4.9441;0.0182;91.805;0.0359;0.1773
-0.41649;113.96981;24.3979;4.9441;0.0182;91.805;0.0359;0.1773
-0.41649;114.11811;24.5806;4.963;0.0183;91.6828;0.0351;0.1744
-0.41649;114.26641;24.5806;4.963;0.0183;91.6828;0.0351;0.1744
-0.41649;114.41471;24.5806;4.963;0.0183;91.6828;0.0351;0.1744
-0.41649;114.56301;24.9443;4.963;0.0185;91.6053;0.0334;0.166
-0.41649;114.71131;24.9443;4.963;0.0185;91.6053;0.0334;0.166
-0.41649;114.85961;24.9443;4.963;0.0185;91.6053;0.0334;0.166
